Model,Replication,Accuracy,F1 Score,ROC AUC,Recall, Best Parameters
Logistic Regression,1,0.9720,0.9722,0.9924,0.9655,"{'C': 10, 'max_iter': 10000}"
Random Forest,1,0.9650,0.9638,0.9925,0.9500,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,2,0.9860,0.9859,0.9962,1.0000,"{'C': 10, 'max_iter': 10000}"
Random Forest,2,0.9615,0.9603,0.9947,0.9433,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,3,0.9755,0.9769,0.9938,0.9737,"{'C': 10, 'max_iter': 10000}"
Random Forest,3,0.9545,0.9562,0.9882,0.9530,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,4,0.9790,0.9776,0.9980,0.9924,"{'C': 10, 'max_iter': 10000}"
Random Forest,4,0.9755,0.9754,0.9975,0.9720,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,5,0.9860,0.9861,0.9967,1.0000,"{'C': 10, 'max_iter': 10000}"
Random Forest,5,0.9476,0.9455,0.9903,0.9559,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,6,0.9755,0.9740,0.9952,0.9850,"{'C': 10, 'max_iter': 10000}"
Random Forest,6,0.9580,0.9562,0.9968,0.9357,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,7,0.9755,0.9742,0.9978,0.9778,"{'C': 10, 'max_iter': 10000}"
Random Forest,7,0.9685,0.9686,0.9963,0.9653,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,8,0.9790,0.9786,0.9974,0.9786,"{'C': 10, 'max_iter': 10000}"
Random Forest,8,0.9615,0.9630,0.9977,0.9408,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,9,0.9825,0.9831,0.9990,0.9864,"{'C': 10, 'max_iter': 10000}"
Random Forest,9,0.9545,0.9562,0.9919,0.9726,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,10,0.9825,0.9823,0.9986,0.9789,"{'C': 10, 'max_iter': 10000}"
Random Forest,10,0.9615,0.9600,0.9973,0.9778,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
