Model,Replication,Accuracy,F1 Score,ROC AUC,MCC,Best Parameters
Logistic Regression,1,0.9685,0.9685,0.9969,0.9372,"{'C': 10, 'max_iter': 10000}"
K-Nearest Neighbors,1,0.9790,0.9790,0.9984,0.9581,"{'n_neighbors': 9, 'weights': 'distance'}"
Logistic Regression,2,0.9825,0.9825,0.9992,0.9652,"{'C': 10, 'max_iter': 10000}"
K-Nearest Neighbors,2,0.9685,0.9685,0.9945,0.9371,"{'n_neighbors': 5, 'weights': 'distance'}"
Logistic Regression,3,0.9895,0.9895,0.9991,0.9790,"{'C': 10, 'max_iter': 10000}"
K-Nearest Neighbors,3,0.9580,0.9580,0.9894,0.9162,"{'n_neighbors': 9, 'weights': 'distance'}"
Logistic Regression,4,0.9825,0.9825,0.9964,0.9650,"{'C': 10, 'max_iter': 10000}"
K-Nearest Neighbors,4,0.9720,0.9720,0.9968,0.9438,"{'n_neighbors': 9, 'weights': 'distance'}"
Logistic Regression,5,0.9685,0.9685,0.9879,0.9372,"{'C': 10, 'max_iter': 10000}"
K-Nearest Neighbors,5,0.9685,0.9686,0.9905,0.9376,"{'n_neighbors': 9, 'weights': 'distance'}"
Logistic Regression,6,0.9720,0.9720,0.9975,0.9440,"{'C': 10, 'max_iter': 10000}"
K-Nearest Neighbors,6,0.9755,0.9755,0.9977,0.9512,"{'n_neighbors': 7, 'weights': 'distance'}"
Logistic Regression,7,0.9860,0.9860,0.9981,0.9721,"{'C': 10, 'max_iter': 10000}"
K-Nearest Neighbors,7,0.9580,0.9580,0.9910,0.9159,"{'n_neighbors': 9, 'weights': 'distance'}"
Logistic Regression,8,0.9755,0.9755,0.9942,0.9511,"{'C': 10, 'max_iter': 10000}"
K-Nearest Neighbors,8,0.9860,0.9860,0.9982,0.9720,"{'n_neighbors': 9, 'weights': 'distance'}"
Logistic Regression,9,0.9790,0.9790,0.9990,0.9580,"{'C': 10, 'max_iter': 10000}"
K-Nearest Neighbors,9,0.9685,0.9685,0.9942,0.9376,"{'n_neighbors': 7, 'weights': 'distance'}"
Logistic Regression,10,0.9790,0.9790,0.9976,0.9579,"{'C': 10, 'max_iter': 10000}"
K-Nearest Neighbors,10,0.9615,0.9615,0.9937,0.9236,"{'n_neighbors': 9, 'weights': 'uniform'}"
Logistic Regression,11,0.9790,0.9790,0.9913,0.9581,"{'C': 10, 'max_iter': 10000}"
K-Nearest Neighbors,11,0.9720,0.9720,0.9967,0.9441,"{'n_neighbors': 9, 'weights': 'distance'}"
Logistic Regression,12,0.9790,0.9790,0.9980,0.9581,"{'C': 10, 'max_iter': 10000}"
K-Nearest Neighbors,12,0.9685,0.9685,0.9929,0.9365,"{'n_neighbors': 9, 'weights': 'distance'}"
Logistic Regression,13,0.9615,0.9615,0.9943,0.9228,"{'C': 10, 'max_iter': 10000}"
K-Nearest Neighbors,13,0.9580,0.9580,0.9869,0.9162,"{'n_neighbors': 9, 'weights': 'distance'}"
Logistic Regression,14,0.9790,0.9790,0.9960,0.9583,"{'C': 10, 'max_iter': 10000}"
K-Nearest Neighbors,14,0.9441,0.9441,0.9961,0.8904,"{'n_neighbors': 9, 'weights': 'distance'}"
Logistic Regression,15,0.9860,0.9860,0.9990,0.9719,"{'C': 10, 'max_iter': 10000}"
K-Nearest Neighbors,15,0.9685,0.9685,0.9967,0.9371,"{'n_neighbors': 9, 'weights': 'distance'}"
Logistic Regression,16,0.9615,0.9616,0.9905,0.9236,"{'C': 1, 'max_iter': 10000}"
K-Nearest Neighbors,16,0.9790,0.9790,0.9932,0.9584,"{'n_neighbors': 7, 'weights': 'distance'}"
Logistic Regression,17,0.9650,0.9650,0.9925,0.9302,"{'C': 10, 'max_iter': 10000}"
K-Nearest Neighbors,17,0.9510,0.9511,0.9904,0.9021,"{'n_neighbors': 9, 'weights': 'distance'}"
Logistic Regression,18,0.9790,0.9790,0.9963,0.9584,"{'C': 10, 'max_iter': 10000}"
K-Nearest Neighbors,18,0.9441,0.9441,0.9811,0.8880,"{'n_neighbors': 3, 'weights': 'distance'}"
Logistic Regression,19,0.9685,0.9685,0.9902,0.9371,"{'C': 10, 'max_iter': 10000}"
K-Nearest Neighbors,19,0.9685,0.9685,0.9967,0.9371,"{'n_neighbors': 9, 'weights': 'distance'}"
Logistic Regression,20,0.9860,0.9860,0.9991,0.9721,"{'C': 10, 'max_iter': 10000}"
K-Nearest Neighbors,20,0.9650,0.9650,0.9798,0.9301,"{'n_neighbors': 3, 'weights': 'distance'}"
